"EVTYPE";"BGN_DATE";"STATE";"nobs";"qFA";"qIN";"qPR";"qCR"
"1";"flood";1993;"AL";7;0;0;0;0
"2";"flood";1993;"AR";42;0;0;2445500;0
"3";"flood";1993;"AZ";40;2;8;22155000;5500000
"4";"flood";1993;"CA";14;3;0;12150000;5005000
"5";"flood";1993;"CO";3;0;0;1005000;0
"6";"flood";1993;"CT";12;0;0;0;0
"7";"flood";1993;"DC";1;0;0;5000;0
"8";"flood";1993;"DE";1;0;0;0;0
"9";"flood";1993;"FL";44;3;0;32060500;0
"10";"flood";1993;"GA";20;0;2;12205000;5000
"11";"flood";1993;"IA";65;0;0;68860000;34560000
"12";"flood";1993;"ID";6;0;0;50000;0
"13";"flood";1993;"IL";35;0;0;12826050;61050
"14";"flood";1993;"IN";19;1;1;20165000;1245500
"15";"flood";1993;"KS";47;2;0;123420500;63665000
"16";"flood";1993;"KY";32;1;2;1460000;5500
"17";"flood";1993;"LA";21;0;3;7050000;0
"18";"flood";1993;"MA";16;0;0;5e+05;0
"19";"flood";1993;"MD";9;0;0;1615000;0
"20";"flood";1993;"ME";3;0;0;0;0
"21";"flood";1993;"MI";6;0;0;1e+07;0
"22";"flood";1993;"MN";8;0;1;1.1e+07;0
"23";"flood";1993;"MO";133;12;7;176848000;6102000
"24";"flood";1993;"MS";19;0;0;6650000;0
"25";"flood";1993;"MT";7;0;0;6155000;1060000
"26";"flood";1993;"NC";9;1;0;605000;0
"27";"flood";1993;"ND";2;1;0;5050000;5050000
"28";"flood";1993;"NE";26;2;0;710000;0
"29";"flood";1993;"NH";1;0;0;0;0
"30";"flood";1993;"NJ";6;0;0;0;0
"31";"flood";1993;"NM";18;0;0;730500;0
"32";"flood";1993;"NV";1;0;0;0;0
"33";"flood";1993;"NY";82;7;0;104943000;0
"34";"flood";1993;"OH";103;0;1;19985500;0
"35";"flood";1993;"OK";137;5;0;126025000;5e+07
"36";"flood";1993;"OR";11;0;0;6100000;50000
"37";"flood";1993;"PA";27;0;0;526000;0
"38";"flood";1993;"PR";11;0;0;1e+06;0
"39";"flood";1993;"RI";6;0;0;0;0
"40";"flood";1993;"SC";7;0;0;5e+05;0
"41";"flood";1993;"SD";9;2;0;55605500;5500
"42";"flood";1993;"TN";29;0;0;163000;0
"43";"flood";1993;"TX";142;5;5;18617000;61000
"44";"flood";1993;"UT";16;0;4;606000;0
"45";"flood";1993;"VA";20;0;0;2281500;0
"46";"flood";1993;"VI";17;0;0;5000;0
"47";"flood";1993;"VT";19;0;0;22586000;0
"48";"flood";1993;"WA";11;0;0;1200000;0
"49";"flood";1993;"WI";45;0;0;7665000;1306000
"50";"flood";1993;"WV";7;0;0;1050000;0
"51";"flood";1993;"WY";1;1;0;0;50
"52";"flood";1994;"AK";1;0;0;0;0
"53";"flood";1994;"AL";3;0;0;1500000;150000
"54";"flood";1994;"AR";38;0;0;6715000;0
"55";"flood";1994;"AZ";12;0;0;50000;5e+06
"56";"flood";1994;"CA";20;2;1;5608000;0
"57";"flood";1994;"CO";28;0;5;5131857.5;0
"58";"flood";1994;"CT";10;0;0;5050000;0
"59";"flood";1994;"DE";2;0;0;1e+05;0
"60";"flood";1994;"FL";129;0;1;8610500;5e+07
"61";"flood";1994;"GA";76;27;11;106532550;11623550
"62";"flood";1994;"IL";13;0;0;145000;5000
"63";"flood";1994;"IN";10;1;0;1255000;0
"64";"flood";1994;"KS";44;1;0;23846500;3570000
"65";"flood";1994;"KY";2;0;0;5e+05;0
"66";"flood";1994;"LA";14;0;0;2110000;0
"67";"flood";1994;"MA";5;0;0;0;0
"68";"flood";1994;"ME";4;0;0;50010000;0
"69";"flood";1994;"MI";25;0;0;6010050;5e+06
"70";"flood";1994;"MN";6;0;0;1050000;50000
"71";"flood";1994;"MO";77;3;1;4556500;1240500
"72";"flood";1994;"MS";22;0;0;4165500;0
"73";"flood";1994;"MT";2;0;0;5050000;0
"74";"flood";1994;"NC";11;0;0;5050000;50000
"75";"flood";1994;"ND";5;0;0;6100000;5e+06
"76";"flood";1994;"NE";21;0;0;5010000;0
"77";"flood";1994;"NH";2;0;0;0;0
"78";"flood";1994;"NJ";2;0;0;0;0
"79";"flood";1994;"NM";12;0;0;5e+06;0
"80";"flood";1994;"NY";95;2;0;79075500;50000
"81";"flood";1994;"OH";156;1;7;85400000;150000
"82";"flood";1994;"OK";23;5;0;70000;0
"83";"flood";1994;"OR";5;0;0;0;0
"84";"flood";1994;"PA";34;0;3;4480000;75000
"85";"flood";1994;"PR";23;0;0;7150;0
"86";"flood";1994;"SC";33;0;0;1650000;1e+07
"87";"flood";1994;"SD";7;0;0;6850000;50550000
"88";"flood";1994;"TN";35;0;0;274000;0
"89";"flood";1994;"TX";72;0;0;6883500;359500
"90";"flood";1994;"UT";8;0;0;500;0
"91";"flood";1994;"VA";1;0;0;50000;0
"92";"flood";1994;"VI";15;0;0;0;0
"93";"flood";1994;"VT";16;0;0;2312000;0
"94";"flood";1994;"WA";1;0;0;0;0
"95";"flood";1994;"WI";27;2;0;62115000;0
"96";"flood";1994;"WV";12;0;0;1215000;5000
"97";"flood";1994;"WY";2;0;0;55000;0
"98";"flood";1995;"AL";13;1;0;221000;0
"99";"flood";1995;"AR";32;0;0;0;0
"100";"flood";1995;"AZ";34;1;0;3617500;0
"101";"flood";1995;"CA";33;6;1;39890000;325400000
"102";"flood";1995;"CO";12;0;0;18240000;0
"103";"flood";1995;"CT";7;0;0;30000;0
"104";"flood";1995;"FL";154;0;27;33929000;91005000
"105";"flood";1995;"GA";32;0;0;2020000;14000
"106";"flood";1995;"HI";8;0;1;715000;185000
"107";"flood";1995;"IA";17;0;2;1395000;298000
"108";"flood";1995;"ID";19;0;0;5150500;0
"109";"flood";1995;"IL";97;1;9;9807500;180000
"110";"flood";1995;"IN";81;1;1;693030;2254000
"111";"flood";1995;"KS";55;0;0;11173075;2035000
"112";"flood";1995;"KY";115;2;0;2313010;50000
"113";"flood";1995;"LA";29;5;0;20000;0
"114";"flood";1995;"MA";8;0;0;30000;0
"115";"flood";1995;"MD";7;0;0;254000;20000
"116";"flood";1995;"MI";9;0;0;0;0
"117";"flood";1995;"MN";3;0;0;150000;0
"118";"flood";1995;"MO";132;2;1;1798200;82800
"119";"flood";1995;"MS";19;1;0;533500;0
"120";"flood";1995;"MT";11;0;0;377000;10000
"121";"flood";1995;"NC";101;0;2;684063000;15135000
"122";"flood";1995;"ND";11;0;0;220000;0
"123";"flood";1995;"NE";10;0;0;1940000;957000
"124";"flood";1995;"NH";3;0;0;55000;0
"125";"flood";1995;"NJ";16;0;0;0;0
"126";"flood";1995;"NM";10;0;14;924000;30000
"127";"flood";1995;"NV";15;0;1;4763000;6e+06
"128";"flood";1995;"NY";67;0;3;7790000;0
"129";"flood";1995;"OH";279;5;11;14828099;394000
"130";"flood";1995;"OK";123;0;0;1020200;0
"131";"flood";1995;"OR";10;0;6;500500;5e+06
